[1] "Accepted theta[1]=9.01e-01, theta[2]=2.27e+00, theta[3]=1.28e+00"
[1] "Accepted theta[1]=1.86e-01, theta[2]=3.94e+00, theta[3]=4.61e-01"
[1] "Rejected theta[1]=1.80e-01, theta[2]=3.96e+00, theta[3]=4.83e-01"
[1] "Rejected theta[1]=1.66e-01, theta[2]=3.96e+00, theta[3]=4.87e-01"
[1] "Rejected theta[1]=1.83e-01, theta[2]=3.94e+00, theta[3]=4.87e-01"
[1] "Rejected theta[1]=1.74e-01, theta[2]=3.93e+00, theta[3]=4.89e-01"
[1] "Accepted theta[1]=1.87e-01, theta[2]=3.96e+00, theta[3]=4.72e-01"
[1] "Rejected theta[1]=1.98e-01, theta[2]=3.95e+00, theta[3]=4.60e-01"
[1] "Rejected theta[1]=2.20e-01, theta[2]=3.96e+00, theta[3]=4.87e-01"
[1] "Rejected theta[1]=1.92e-01, theta[2]=3.94e+00, theta[3]=4.63e-01"
[1] "Accepted theta[1]=1.83e-01, theta[2]=3.95e+00, theta[3]=4.64e-01"
[1] "Rejected theta[1]=2.07e-01, theta[2]=3.96e+00, theta[3]=4.77e-01"
[1] "Rejected theta[1]=1.95e-01, theta[2]=3.98e+00, theta[3]=4.61e-01"
[1] "Rejected theta[1]=1.92e-01, theta[2]=3.95e+00, theta[3]=4.66e-01"
[1] "Accepted theta[1]=1.86e-01, theta[2]=3.94e+00, theta[3]=4.66e-01"
[1] "Accepted theta[1]=1.85e-01, theta[2]=3.94e+00, theta[3]=4.71e-01"
[1] "Rejected theta[1]=1.76e-01, theta[2]=3.94e+00, theta[3]=4.70e-01"
[1] "Accepted theta[1]=1.91e-01, theta[2]=3.94e+00, theta[3]=4.69e-01"
[1] "Rejected theta[1]=1.84e-01, theta[2]=3.96e+00, theta[3]=4.73e-01"
[1] "Rejected theta[1]=1.77e-01, theta[2]=3.96e+00, theta[3]=4.87e-01"
[1] "Accepted theta[1]=1.97e-01, theta[2]=3.93e+00, theta[3]=4.81e-01"
[1] "Rejected theta[1]=1.92e-01, theta[2]=3.93e+00, theta[3]=4.67e-01"
[1] "Rejected theta[1]=1.91e-01, theta[2]=3.94e+00, theta[3]=4.95e-01"
[1] "Rejected theta[1]=2.07e-01, theta[2]=3.93e+00, theta[3]=4.86e-01"
[1] "Rejected theta[1]=1.96e-01, theta[2]=3.93e+00, theta[3]=4.74e-01"
[1] "Accepted theta[1]=1.96e-01, theta[2]=3.94e+00, theta[3]=4.81e-01"
[1] "Rejected theta[1]=1.98e-01, theta[2]=3.92e+00, theta[3]=4.89e-01"
[1] "Rejected theta[1]=2.09e-01, theta[2]=3.91e+00, theta[3]=4.89e-01"
[1] "Accepted theta[1]=1.94e-01, theta[2]=3.95e+00, theta[3]=4.74e-01"
[1] "Rejected theta[1]=1.82e-01, theta[2]=3.95e+00, theta[3]=4.82e-01"
[1] "Rejected theta[1]=1.69e-01, theta[2]=3.97e+00, theta[3]=4.79e-01"
[1] "Rejected theta[1]=1.89e-01, theta[2]=3.96e+00, theta[3]=4.84e-01"
[1] "Rejected theta[1]=1.93e-01, theta[2]=3.92e+00, theta[3]=4.87e-01"
[1] "Rejected theta[1]=1.84e-01, theta[2]=3.96e+00, theta[3]=4.80e-01"
[1] "Rejected theta[1]=2.00e-01, theta[2]=3.95e+00, theta[3]=4.69e-01"
[1] "Rejected theta[1]=1.81e-01, theta[2]=3.96e+00, theta[3]=4.83e-01"
[1] "Rejected theta[1]=1.83e-01, theta[2]=3.95e+00, theta[3]=4.78e-01"
[1] "Rejected theta[1]=2.08e-01, theta[2]=3.96e+00, theta[3]=4.86e-01"
[1] "Accepted theta[1]=1.98e-01, theta[2]=3.95e+00, theta[3]=4.84e-01"
[1] "Rejected theta[1]=1.86e-01, theta[2]=3.95e+00, theta[3]=4.87e-01"
[1] "Accepted theta[1]=1.94e-01, theta[2]=3.97e+00, theta[3]=4.81e-01"
[1] "Rejected theta[1]=2.00e-01, theta[2]=3.96e+00, theta[3]=4.68e-01"
[1] "Rejected theta[1]=2.04e-01, theta[2]=3.96e+00, theta[3]=4.73e-01"
[1] "Rejected theta[1]=1.92e-01, theta[2]=3.96e+00, theta[3]=4.63e-01"
[1] "Rejected theta[1]=2.10e-01, theta[2]=3.97e+00, theta[3]=4.91e-01"
[1] "Rejected theta[1]=2.13e-01, theta[2]=3.98e+00, theta[3]=4.84e-01"
[1] "Rejected theta[1]=1.93e-01, theta[2]=3.96e+00, theta[3]=4.69e-01"
[1] "Rejected theta[1]=1.81e-01, theta[2]=3.96e+00, theta[3]=4.85e-01"
[1] "Rejected theta[1]=1.79e-01, theta[2]=3.97e+00, theta[3]=4.93e-01"
[1] "Rejected theta[1]=1.91e-01, theta[2]=3.96e+00, theta[3]=4.68e-01"
[1] "Rejected theta[1]=2.00e-01, theta[2]=3.95e+00, theta[3]=4.75e-01"
[1] "Rejected theta[1]=2.03e-01, theta[2]=3.97e+00, theta[3]=4.72e-01"
[1] "Accepted theta[1]=2.05e-01, theta[2]=3.97e+00, theta[3]=4.90e-01"
[1] "Rejected theta[1]=1.75e-01, theta[2]=3.97e+00, theta[3]=5.03e-01"
[1] "Accepted theta[1]=1.96e-01, theta[2]=3.95e+00, theta[3]=4.80e-01"
[1] "Accepted theta[1]=2.03e-01, theta[2]=3.94e+00, theta[3]=4.92e-01"
[1] "Rejected theta[1]=2.23e-01, theta[2]=3.94e+00, theta[3]=4.89e-01"
[1] "Accepted theta[1]=2.11e-01, theta[2]=3.93e+00, theta[3]=5.05e-01"
[1] "Accepted theta[1]=2.12e-01, theta[2]=3.93e+00, theta[3]=4.90e-01"
[1] "Rejected theta[1]=1.98e-01, theta[2]=3.93e+00, theta[3]=5.18e-01"
[1] "Rejected theta[1]=1.86e-01, theta[2]=3.92e+00, theta[3]=5.00e-01"
[1] "Accepted theta[1]=2.04e-01, theta[2]=3.94e+00, theta[3]=4.87e-01"
[1] "Rejected theta[1]=1.97e-01, theta[2]=3.95e+00, theta[3]=4.66e-01"
[1] "Accepted theta[1]=2.21e-01, theta[2]=3.95e+00, theta[3]=5.00e-01"
[1] "Accepted theta[1]=2.00e-01, theta[2]=3.96e+00, theta[3]=4.87e-01"
[1] "Rejected theta[1]=1.93e-01, theta[2]=3.96e+00, theta[3]=4.93e-01"
[1] "Rejected theta[1]=2.12e-01, theta[2]=3.98e+00, theta[3]=4.79e-01"
[1] "Rejected theta[1]=2.04e-01, theta[2]=3.96e+00, theta[3]=4.69e-01"
[1] "Rejected theta[1]=2.00e-01, theta[2]=3.96e+00, theta[3]=4.80e-01"
[1] "Rejected theta[1]=2.08e-01, theta[2]=3.98e+00, theta[3]=4.77e-01"
[1] "Rejected theta[1]=1.81e-01, theta[2]=3.95e+00, theta[3]=4.99e-01"
[1] "Accepted theta[1]=2.03e-01, theta[2]=3.98e+00, theta[3]=4.91e-01"
[1] "Rejected theta[1]=2.16e-01, theta[2]=3.97e+00, theta[3]=4.94e-01"
[1] "Rejected theta[1]=1.99e-01, theta[2]=3.97e+00, theta[3]=4.74e-01"
[1] "Rejected theta[1]=2.13e-01, theta[2]=3.98e+00, theta[3]=4.93e-01"
[1] "Accepted theta[1]=1.94e-01, theta[2]=3.99e+00, theta[3]=4.79e-01"
[1] "Accepted theta[1]=2.03e-01, theta[2]=3.98e+00, theta[3]=4.84e-01"
[1] "Accepted theta[1]=2.10e-01, theta[2]=3.98e+00, theta[3]=4.88e-01"
[1] "Accepted theta[1]=2.05e-01, theta[2]=3.98e+00, theta[3]=4.94e-01"
[1] "Rejected theta[1]=2.23e-01, theta[2]=3.97e+00, theta[3]=4.83e-01"
[1] "Rejected theta[1]=2.03e-01, theta[2]=3.99e+00, theta[3]=4.83e-01"
[1] "Accepted theta[1]=2.17e-01, theta[2]=3.96e+00, theta[3]=4.98e-01"
[1] "Rejected theta[1]=2.05e-01, theta[2]=3.96e+00, theta[3]=5.07e-01"
[1] "Rejected theta[1]=2.04e-01, theta[2]=3.95e+00, theta[3]=4.79e-01"
[1] "Rejected theta[1]=1.97e-01, theta[2]=3.96e+00, theta[3]=5.08e-01"
[1] "Accepted theta[1]=2.16e-01, theta[2]=3.97e+00, theta[3]=5.02e-01"
[1] "Rejected theta[1]=2.26e-01, theta[2]=3.97e+00, theta[3]=4.79e-01"
[1] "Rejected theta[1]=2.16e-01, theta[2]=3.98e+00, theta[3]=5.15e-01"
[1] "Rejected theta[1]=2.15e-01, theta[2]=3.98e+00, theta[3]=5.11e-01"
[1] "Rejected theta[1]=2.18e-01, theta[2]=3.97e+00, theta[3]=5.17e-01"
[1] "Rejected theta[1]=2.06e-01, theta[2]=3.98e+00, theta[3]=5.21e-01"
[1] "Rejected theta[1]=2.21e-01, theta[2]=3.99e+00, theta[3]=4.98e-01"
[1] "Rejected theta[1]=2.27e-01, theta[2]=3.97e+00, theta[3]=4.93e-01"
[1] "Rejected theta[1]=2.04e-01, theta[2]=3.99e+00, theta[3]=5.08e-01"
[1] "Rejected theta[1]=2.20e-01, theta[2]=3.98e+00, theta[3]=4.70e-01"
[1] "Accepted theta[1]=2.12e-01, theta[2]=3.98e+00, theta[3]=4.89e-01"
[1] "Rejected theta[1]=1.84e-01, theta[2]=3.95e+00, theta[3]=5.20e-01"
[1] "Accepted theta[1]=2.01e-01, theta[2]=3.97e+00, theta[3]=4.88e-01"
[1] "Rejected theta[1]=1.98e-01, theta[2]=3.98e+00, theta[3]=5.09e-01"
[1] "Rejected theta[1]=1.85e-01, theta[2]=3.97e+00, theta[3]=5.01e-01"
[1] "Rejected theta[1]=1.94e-01, theta[2]=3.96e+00, theta[3]=4.90e-01"
[1] "Rejected theta[1]=1.84e-01, theta[2]=3.98e+00, theta[3]=4.78e-01"
[1] "Rejected theta[1]=2.11e-01, theta[2]=3.98e+00, theta[3]=4.82e-01"
[1] "Rejected theta[1]=2.14e-01, theta[2]=3.96e+00, theta[3]=4.91e-01"
[1] "Rejected theta[1]=2.13e-01, theta[2]=3.99e+00, theta[3]=4.72e-01"
[1] "Rejected theta[1]=1.95e-01, theta[2]=3.97e+00, theta[3]=4.86e-01"
[1] "Accepted theta[1]=2.06e-01, theta[2]=3.97e+00, theta[3]=4.97e-01"
[1] "Accepted theta[1]=2.03e-01, theta[2]=3.96e+00, theta[3]=4.90e-01"
[1] "Rejected theta[1]=2.03e-01, theta[2]=3.96e+00, theta[3]=4.86e-01"
[1] "Rejected theta[1]=1.97e-01, theta[2]=3.97e+00, theta[3]=4.96e-01"
[1] "Accepted theta[1]=1.97e-01, theta[2]=3.99e+00, theta[3]=4.82e-01"
[1] "Rejected theta[1]=1.99e-01, theta[2]=4.00e+00, theta[3]=4.75e-01"
[1] "Accepted theta[1]=2.03e-01, theta[2]=4.00e+00, theta[3]=4.89e-01"
[1] "Accepted theta[1]=2.01e-01, theta[2]=3.99e+00, theta[3]=4.82e-01"
[1] "Rejected theta[1]=1.95e-01, theta[2]=3.98e+00, theta[3]=4.91e-01"
[1] "Rejected theta[1]=2.10e-01, theta[2]=3.97e+00, theta[3]=4.79e-01"
[1] "Accepted theta[1]=1.93e-01, theta[2]=3.97e+00, theta[3]=4.76e-01"
[1] "Rejected theta[1]=2.04e-01, theta[2]=3.97e+00, theta[3]=4.76e-01"
[1] "Rejected theta[1]=1.91e-01, theta[2]=3.97e+00, theta[3]=4.88e-01"
[1] "Rejected theta[1]=2.15e-01, theta[2]=3.98e+00, theta[3]=4.71e-01"
[1] "Rejected theta[1]=1.83e-01, theta[2]=3.98e+00, theta[3]=4.74e-01"
[1] "Rejected theta[1]=2.02e-01, theta[2]=3.98e+00, theta[3]=4.80e-01"
[1] "Accepted theta[1]=1.88e-01, theta[2]=3.98e+00, theta[3]=4.68e-01"
[1] "Accepted theta[1]=2.03e-01, theta[2]=3.98e+00, theta[3]=4.88e-01"
[1] "Rejected theta[1]=2.04e-01, theta[2]=3.98e+00, theta[3]=4.94e-01"
[1] "Rejected theta[1]=2.10e-01, theta[2]=3.95e+00, theta[3]=4.86e-01"
[1] "Accepted theta[1]=1.99e-01, theta[2]=3.99e+00, theta[3]=4.82e-01"
[1] "Accepted theta[1]=2.01e-01, theta[2]=3.98e+00, theta[3]=4.87e-01"
[1] "Rejected theta[1]=1.92e-01, theta[2]=3.97e+00, theta[3]=4.86e-01"
[1] "Accepted theta[1]=2.09e-01, theta[2]=3.98e+00, theta[3]=4.97e-01"
[1] "Rejected theta[1]=2.07e-01, theta[2]=3.95e+00, theta[3]=4.93e-01"
[1] "Rejected theta[1]=2.23e-01, theta[2]=3.98e+00, theta[3]=4.80e-01"
[1] "Rejected theta[1]=1.95e-01, theta[2]=3.98e+00, theta[3]=5.11e-01"
[1] "Accepted theta[1]=1.95e-01, theta[2]=3.96e+00, theta[3]=4.84e-01"
[1] "Accepted theta[1]=1.98e-01, theta[2]=3.96e+00, theta[3]=4.75e-01"
[1] "Rejected theta[1]=1.87e-01, theta[2]=3.97e+00, theta[3]=4.79e-01"
[1] "Accepted theta[1]=1.88e-01, theta[2]=3.97e+00, theta[3]=4.74e-01"
[1] "Accepted theta[1]=1.90e-01, theta[2]=3.97e+00, theta[3]=4.71e-01"
[1] "Rejected theta[1]=1.81e-01, theta[2]=3.96e+00, theta[3]=4.68e-01"
[1] "Rejected theta[1]=2.02e-01, theta[2]=3.96e+00, theta[3]=4.79e-01"
[1] "Rejected theta[1]=1.92e-01, theta[2]=3.96e+00, theta[3]=4.86e-01"
[1] "Accepted theta[1]=2.02e-01, theta[2]=3.96e+00, theta[3]=4.84e-01"
[1] "Accepted theta[1]=1.99e-01, theta[2]=3.96e+00, theta[3]=4.82e-01"
[1] "Rejected theta[1]=2.03e-01, theta[2]=3.97e+00, theta[3]=4.74e-01"
[1] "Rejected theta[1]=2.13e-01, theta[2]=3.97e+00, theta[3]=4.77e-01"
[1] "Rejected theta[1]=1.95e-01, theta[2]=3.95e+00, theta[3]=4.52e-01"
[1] "Accepted theta[1]=1.98e-01, theta[2]=3.96e+00, theta[3]=4.82e-01"
[1] "Rejected theta[1]=2.11e-01, theta[2]=3.98e+00, theta[3]=4.74e-01"
[1] "Accepted theta[1]=1.92e-01, theta[2]=3.97e+00, theta[3]=4.71e-01"
[1] "Accepted theta[1]=1.84e-01, theta[2]=3.96e+00, theta[3]=4.69e-01"
[1] "Rejected theta[1]=2.11e-01, theta[2]=3.96e+00, theta[3]=4.72e-01"
[1] "Accepted theta[1]=1.90e-01, theta[2]=3.98e+00, theta[3]=4.75e-01"
[1] "Rejected theta[1]=2.10e-01, theta[2]=3.97e+00, theta[3]=4.85e-01"
[1] "Rejected theta[1]=1.99e-01, theta[2]=3.98e+00, theta[3]=4.76e-01"
[1] "Rejected theta[1]=1.98e-01, theta[2]=3.98e+00, theta[3]=4.61e-01"
[1] "Rejected theta[1]=2.05e-01, theta[2]=3.97e+00, theta[3]=4.67e-01"
[1] "Rejected theta[1]=1.81e-01, theta[2]=4.00e+00, theta[3]=4.72e-01"
[1] "Accepted theta[1]=1.92e-01, theta[2]=3.99e+00, theta[3]=4.75e-01"
[1] "Rejected theta[1]=1.83e-01, theta[2]=3.99e+00, theta[3]=4.78e-01"
[1] "Rejected theta[1]=1.94e-01, theta[2]=4.00e+00, theta[3]=4.90e-01"
[1] "Rejected theta[1]=1.99e-01, theta[2]=4.00e+00, theta[3]=4.65e-01"
[1] "Rejected theta[1]=1.97e-01, theta[2]=4.00e+00, theta[3]=4.72e-01"
[1] "Accepted theta[1]=2.07e-01, theta[2]=4.00e+00, theta[3]=4.94e-01"
[1] "Rejected theta[1]=2.22e-01, theta[2]=4.01e+00, theta[3]=4.75e-01"
[1] "Accepted theta[1]=2.09e-01, theta[2]=4.00e+00, theta[3]=4.90e-01"
[1] "Accepted theta[1]=2.08e-01, theta[2]=3.99e+00, theta[3]=4.94e-01"
[1] "Rejected theta[1]=2.19e-01, theta[2]=3.99e+00, theta[3]=4.94e-01"
[1] "Rejected theta[1]=2.10e-01, theta[2]=4.00e+00, theta[3]=4.88e-01"
[1] "Accepted theta[1]=2.01e-01, theta[2]=3.99e+00, theta[3]=4.84e-01"
[1] "Rejected theta[1]=1.93e-01, theta[2]=3.99e+00, theta[3]=5.07e-01"
[1] "Rejected theta[1]=1.80e-01, theta[2]=4.00e+00, theta[3]=4.84e-01"
[1] "Rejected theta[1]=2.02e-01, theta[2]=4.02e+00, theta[3]=4.80e-01"
[1] "Rejected theta[1]=1.9e-01, theta[2]=4.0e+00, theta[3]=4.9e-01"
[1] "Rejected theta[1]=1.97e-01, theta[2]=3.99e+00, theta[3]=4.95e-01"
[1] "Rejected theta[1]=1.83e-01, theta[2]=3.99e+00, theta[3]=4.74e-01"
[1] "Rejected theta[1]=1.86e-01, theta[2]=3.99e+00, theta[3]=4.92e-01"
[1] "Accepted theta[1]=1.93e-01, theta[2]=3.99e+00, theta[3]=4.75e-01"
[1] "Rejected theta[1]=1.85e-01, theta[2]=3.99e+00, theta[3]=4.55e-01"
[1] "Accepted theta[1]=1.90e-01, theta[2]=3.99e+00, theta[3]=4.71e-01"
[1] "Rejected theta[1]=1.87e-01, theta[2]=3.98e+00, theta[3]=4.78e-01"
[1] "Rejected theta[1]=1.86e-01, theta[2]=3.99e+00, theta[3]=4.65e-01"
[1] "Rejected theta[1]=1.83e-01, theta[2]=3.99e+00, theta[3]=4.71e-01"
[1] "Accepted theta[1]=1.82e-01, theta[2]=3.99e+00, theta[3]=4.61e-01"
[1] "Rejected theta[1]=1.76e-01, theta[2]=3.99e+00, theta[3]=4.65e-01"
[1] "Rejected theta[1]=1.79e-01, theta[2]=4.00e+00, theta[3]=4.66e-01"
[1] "Accepted theta[1]=1.81e-01, theta[2]=3.98e+00, theta[3]=4.59e-01"
[1] "Rejected theta[1]=1.68e-01, theta[2]=3.99e+00, theta[3]=4.64e-01"
[1] "Rejected theta[1]=1.84e-01, theta[2]=3.98e+00, theta[3]=4.74e-01"
[1] "Rejected theta[1]=1.94e-01, theta[2]=3.97e+00, theta[3]=4.59e-01"
[1] "Rejected theta[1]=1.75e-01, theta[2]=3.98e+00, theta[3]=4.62e-01"
[1] "Rejected theta[1]=2.05e-01, theta[2]=3.97e+00, theta[3]=4.61e-01"
[1] "Rejected theta[1]=1.80e-01, theta[2]=3.98e+00, theta[3]=4.75e-01"
[1] "Rejected theta[1]=1.89e-01, theta[2]=3.98e+00, theta[3]=4.58e-01"
[1] "Accepted theta[1]=1.86e-01, theta[2]=3.99e+00, theta[3]=4.73e-01"
[1] "Rejected theta[1]=1.87e-01, theta[2]=3.99e+00, theta[3]=4.58e-01"
[1] "Accepted theta[1]=1.86e-01, theta[2]=3.99e+00, theta[3]=4.70e-01"
[1] "Rejected theta[1]=1.91e-01, theta[2]=3.98e+00, theta[3]=4.53e-01"
[1] "Rejected theta[1]=1.91e-01, theta[2]=3.98e+00, theta[3]=4.62e-01"
[1] "Accepted theta[1]=1.97e-01, theta[2]=3.99e+00, theta[3]=4.77e-01"
[1] "Accepted theta[1]=1.85e-01, theta[2]=3.98e+00, theta[3]=4.66e-01"
[1] "Rejected theta[1]=1.73e-01, theta[2]=3.97e+00, theta[3]=4.85e-01"
[1] "Rejected theta[1]=2.02e-01, theta[2]=3.99e+00, theta[3]=4.65e-01"
[1] "Accepted theta[1]=1.86e-01, theta[2]=3.97e+00, theta[3]=4.70e-01"
[1] "Rejected theta[1]=1.96e-01, theta[2]=3.97e+00, theta[3]=4.63e-01"
[1] "Accepted theta[1]=1.82e-01, theta[2]=3.97e+00, theta[3]=4.60e-01"
[1] "Rejected theta[1]=1.87e-01, theta[2]=3.96e+00, theta[3]=4.74e-01"
[1] "Rejected theta[1]=1.93e-01, theta[2]=3.95e+00, theta[3]=4.54e-01"
[1] "Rejected theta[1]=1.74e-01, theta[2]=3.96e+00, theta[3]=4.74e-01"
[1] "Accepted theta[1]=1.82e-01, theta[2]=3.97e+00, theta[3]=4.56e-01"
[1] "Rejected theta[1]=1.71e-01, theta[2]=3.97e+00, theta[3]=4.76e-01"
[1] "Rejected theta[1]=1.83e-01, theta[2]=3.98e+00, theta[3]=5.00e-01"
[1] "Rejected theta[1]=1.59e-01, theta[2]=3.97e+00, theta[3]=4.61e-01"
[1] "Rejected theta[1]=1.62e-01, theta[2]=3.95e+00, theta[3]=4.60e-01"
[1] "Accepted theta[1]=1.91e-01, theta[2]=3.97e+00, theta[3]=4.63e-01"
[1] "Rejected theta[1]=1.66e-01, theta[2]=3.98e+00, theta[3]=4.73e-01"
[1] "Rejected theta[1]=1.68e-01, theta[2]=3.98e+00, theta[3]=4.86e-01"
[1] "Rejected theta[1]=1.70e-01, theta[2]=3.96e+00, theta[3]=4.86e-01"
[1] "Rejected theta[1]=1.69e-01, theta[2]=3.98e+00, theta[3]=4.75e-01"
[1] "Rejected theta[1]=1.93e-01, theta[2]=3.98e+00, theta[3]=4.94e-01"
[1] "Rejected theta[1]=1.65e-01, theta[2]=3.99e+00, theta[3]=4.77e-01"
[1] "Accepted theta[1]=1.84e-01, theta[2]=3.98e+00, theta[3]=4.70e-01"
[1] "Rejected theta[1]=1.92e-01, theta[2]=3.97e+00, theta[3]=4.56e-01"
[1] "Rejected theta[1]=1.97e-01, theta[2]=3.98e+00, theta[3]=4.70e-01"
[1] "Rejected theta[1]=1.87e-01, theta[2]=3.99e+00, theta[3]=4.42e-01"
[1] "Rejected theta[1]=1.92e-01, theta[2]=3.98e+00, theta[3]=4.65e-01"
[1] "Accepted theta[1]=1.92e-01, theta[2]=3.98e+00, theta[3]=4.65e-01"
[1] "Accepted theta[1]=1.85e-01, theta[2]=3.97e+00, theta[3]=4.72e-01"
[1] "Accepted theta[1]=1.91e-01, theta[2]=3.97e+00, theta[3]=4.78e-01"
[1] "Rejected theta[1]=2.00e-01, theta[2]=3.95e+00, theta[3]=4.65e-01"
[1] "Accepted theta[1]=1.92e-01, theta[2]=3.97e+00, theta[3]=4.76e-01"
[1] "Rejected theta[1]=2.03e-01, theta[2]=3.98e+00, theta[3]=4.78e-01"
[1] "Rejected theta[1]=1.73e-01, theta[2]=3.97e+00, theta[3]=4.76e-01"
[1] "Accepted theta[1]=2.04e-01, theta[2]=3.97e+00, theta[3]=4.93e-01"
[1] "Rejected theta[1]=2.12e-01, theta[2]=3.97e+00, theta[3]=4.90e-01"
[1] "Rejected theta[1]=1.90e-01, theta[2]=3.96e+00, theta[3]=4.83e-01"
[1] "Rejected theta[1]=2.07e-01, theta[2]=3.97e+00, theta[3]=5.08e-01"
[1] "Rejected theta[1]=2.02e-01, theta[2]=3.98e+00, theta[3]=5.02e-01"
[1] "Accepted theta[1]=2.03e-01, theta[2]=3.98e+00, theta[3]=4.91e-01"
[1] "Rejected theta[1]=2.15e-01, theta[2]=3.99e+00, theta[3]=4.80e-01"
[1] "Rejected theta[1]=1.95e-01, theta[2]=4.00e+00, theta[3]=5.06e-01"
[1] "Rejected theta[1]=2.00e-01, theta[2]=3.99e+00, theta[3]=4.97e-01"
[1] "Rejected theta[1]=2.03e-01, theta[2]=3.98e+00, theta[3]=4.82e-01"
[1] "Rejected theta[1]=2.31e-01, theta[2]=4.00e+00, theta[3]=4.95e-01"
[1] "Accepted theta[1]=2.08e-01, theta[2]=3.98e+00, theta[3]=4.89e-01"
[1] "Rejected theta[1]=2.21e-01, theta[2]=3.96e+00, theta[3]=4.85e-01"
[1] "Rejected theta[1]=2.00e-01, theta[2]=3.98e+00, theta[3]=5.07e-01"
[1] "Rejected theta[1]=2.11e-01, theta[2]=3.98e+00, theta[3]=4.90e-01"
[1] "Rejected theta[1]=1.88e-01, theta[2]=3.98e+00, theta[3]=4.95e-01"
[1] "Rejected theta[1]=1.86e-01, theta[2]=3.98e+00, theta[3]=4.85e-01"
[1] "Rejected theta[1]=2.18e-01, theta[2]=3.99e+00, theta[3]=5.13e-01"
[1] "Rejected theta[1]=2.01e-01, theta[2]=3.96e+00, theta[3]=5.06e-01"
[1] "Rejected theta[1]=2.03e-01, theta[2]=3.98e+00, theta[3]=5.11e-01"
[1] "Rejected theta[1]=1.86e-01, theta[2]=3.98e+00, theta[3]=4.93e-01"
[1] "Accepted theta[1]=2.03e-01, theta[2]=3.98e+00, theta[3]=4.90e-01"
[1] "Rejected theta[1]=2.13e-01, theta[2]=3.98e+00, theta[3]=4.86e-01"
[1] "Rejected theta[1]=2.00e-01, theta[2]=3.99e+00, theta[3]=4.92e-01"
[1] "Rejected theta[1]=2.24e-01, theta[2]=3.97e+00, theta[3]=4.97e-01"
[1] "Accepted theta[1]=1.98e-01, theta[2]=4.00e+00, theta[3]=4.87e-01"
[1] "Rejected theta[1]=2.17e-01, theta[2]=4.00e+00, theta[3]=4.86e-01"
[1] "Rejected theta[1]=2.06e-01, theta[2]=4.01e+00, theta[3]=4.82e-01"
[1] "Rejected theta[1]=2.28e-01, theta[2]=4.00e+00, theta[3]=4.73e-01"
[1] "Rejected theta[1]=2.24e-01, theta[2]=3.98e+00, theta[3]=4.95e-01"
[1] "Rejected theta[1]=2.15e-01, theta[2]=3.99e+00, theta[3]=4.64e-01"
[1] "Rejected theta[1]=2.17e-01, theta[2]=4.01e+00, theta[3]=4.68e-01"
[1] "Accepted theta[1]=2.08e-01, theta[2]=4.00e+00, theta[3]=4.95e-01"
[1] "Rejected theta[1]=2.21e-01, theta[2]=4.02e+00, theta[3]=4.75e-01"
[1] "Rejected theta[1]=2.15e-01, theta[2]=3.99e+00, theta[3]=4.70e-01"
[1] "Rejected theta[1]=1.89e-01, theta[2]=3.98e+00, theta[3]=5.05e-01"
[1] "Accepted theta[1]=2.07e-01, theta[2]=4.01e+00, theta[3]=4.87e-01"
[1] "Rejected theta[1]=2.06e-01, theta[2]=4.00e+00, theta[3]=4.78e-01"
[1] "Rejected theta[1]=1.93e-01, theta[2]=4.00e+00, theta[3]=4.87e-01"
[1] "Accepted theta[1]=2.06e-01, theta[2]=4.01e+00, theta[3]=4.87e-01"
[1] "Rejected theta[1]=1.96e-01, theta[2]=4.01e+00, theta[3]=4.95e-01"
[1] "Rejected theta[1]=1.92e-01, theta[2]=4.00e+00, theta[3]=4.98e-01"
[1] "Rejected theta[1]=1.98e-01, theta[2]=4.00e+00, theta[3]=5.04e-01"
[1] "Rejected theta[1]=1.92e-01, theta[2]=4.01e+00, theta[3]=4.87e-01"
[1] "Rejected theta[1]=2.06e-01, theta[2]=4.01e+00, theta[3]=4.82e-01"
[1] "Rejected theta[1]=1.84e-01, theta[2]=4.02e+00, theta[3]=4.81e-01"
[1] "Accepted theta[1]=2.12e-01, theta[2]=4.01e+00, theta[3]=4.94e-01"
[1] "Rejected theta[1]=1.99e-01, theta[2]=4.01e+00, theta[3]=5.04e-01"
[1] "Rejected theta[1]=2.14e-01, theta[2]=4.00e+00, theta[3]=4.84e-01"
[1] "Rejected theta[1]=2.04e-01, theta[2]=4.00e+00, theta[3]=5.09e-01"
[1] "Rejected theta[1]=2.14e-01, theta[2]=4.00e+00, theta[3]=4.89e-01"
[1] "Rejected theta[1]=2.12e-01, theta[2]=4.00e+00, theta[3]=5.21e-01"
[1] "Rejected theta[1]=2.03e-01, theta[2]=4.01e+00, theta[3]=5.08e-01"
[1] "Rejected theta[1]=2.02e-01, theta[2]=4.01e+00, theta[3]=5.03e-01"
[1] "Accepted theta[1]=1.98e-01, theta[2]=4.01e+00, theta[3]=4.89e-01"
[1] "Rejected theta[1]=2.00e-01, theta[2]=3.99e+00, theta[3]=4.53e-01"
[1] "Accepted theta[1]=2.11e-01, theta[2]=4.02e+00, theta[3]=4.94e-01"
[1] "Rejected theta[1]=2.08e-01, theta[2]=4.01e+00, theta[3]=4.86e-01"
[1] "Rejected theta[1]=2.08e-01, theta[2]=4.02e+00, theta[3]=5.03e-01"
